id,link,brand,name,variant,remark,sold_out,not_selling,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,display,weight,battery,screen_type,graphic,w_per_h,market,lasust_update,battery_time,battery_time_centered,display_centered,weight_diff_pct,graphic_centered
18,https://item.gmarket.co.kr/Item?goodscode=4330513464,asus,"비보북 S16, r7 350",1,,,0,140,130,-7.142857143,r7 350,16,onboard,512,1,16,8,150,75,oled,7,9.5,g마켓,,7.894736842,0.455616213,1.474683544,-9.638554217,1.075949367
65,https://item.gmarket.co.kr/Item?goodscode=4623684498,lenovo,"아이디어패드 슬림3 15arp10 oled, r5 7533hs",2,램 장착 권장,,0,72,64,-11.11111111,r5 7533hs,8,single,256,1,15.1,8,151,60,oled,5,11,g마켓,,5.454545455,-1.984575174,1.474683544,0.348895165,-0.924050633
66,https://item.gmarket.co.kr/Item?goodscode=4572335752,lenovo,"아이디어패드 슬림5 16iah10, u5 225h",1,,,0,125,118,-5.6,u5 225h,32,dual,512,0,16,8,169,60,oled,7,10,g마켓,,6,-1.439120629,1.474683544,1.807228916,1.075949367
67,https://item.gmarket.co.kr/Item?goodscode=4348723218,lenovo,"요가 7 2in1 14ill10, u5 228v",3,"씨쉘, 512GB",,0,160,143,-10.625,u5 228v,32,onboard,512,1,14,8,138,70,oled,7,7.25,g마켓,,9.655172414,2.216051785,1.474683544,4.942965779,1.075949367
76,https://item.gmarket.co.kr/Item?goodscode=3576393966,msi,"프레스티지 16, U7 155H",1,후면포트,,0,130,120,-7.692307692,U7 155H,16,onboard,512,0,16,8,150,100,oled,7,10.25,g마켓,,9.756097561,2.316976932,1.474683544,-9.638554217,1.075949367
77,https://item.gmarket.co.kr/Item?goodsCode=3647883984,samsung,"갤럭시북 4, i3 1315u",1,,,0,70,76,8.571428571,i3 1315u,16,onboard,256,0,15.6,3,155,54,ips,3,10.25,g마켓,,5.268292683,-2.170827946,-3.525316456,-2.5769956,-2.924050633
79,https://item.gmarket.co.kr/Item?goodscode=4563773737,samsung,"갤럭시북 5프로 NT960XHZ-A51A, u5 226v",1,,,0,175,196,12,u5 226v,16,onboard,256,1,16,8,156,76,oled,7,7.5,g마켓,,10.13333333,2.694212705,1.474683544,-6.024096386,1.075949367
78,https://smartstore.naver.com/samsung_mall/products/11256046363,samsung,"갤럭시북 5프로 NT940XHA-K51A, u5 226v",1,,,0,165,180,9.090909091,u5 226v,16,onboard,256,1,14,8,123,63,oled,7,6.75,네이버,,9.333333333,1.894212705,1.474683544,-6.463878327,1.075949367
64,www.lenovo.com/kr/ko/p/laptops/thinkpad/thinkpadx/thinkpad-x13-gen-6-13-inch-intel/21rkcto1wwkr3,lenovo,"씽크패드 x13, u5 225H",1,CTO,,0,160,170,6.25,u5 225H,32,onboard,256,0,13.3,6,98,55,ips,7,6,레노버,,9.166666667,1.727546038,-0.525316456,-17.94012979,1.075949367
63,www.lenovo.com/kr/ko/p/laptops/thinkpad/thinkpade/lenovo-thinkpad-e16-gen-3-16-inch-intel/22aycto1wwkr1,lenovo,"씽크패드 e16 gen3, u5 226v",1,CTO,,0,125,117,-6.4,u5 226v,16,onboard,256,0,16,7,170,64,ips,7,7.5,레노버,,8.533333333,1.094212705,0.474683544,2.409638554,1.075949367
61,www.lenovo.com/kr/ko/p/laptops/thinkpad/thinkpadx9/thinkpad-x9-aura-edition-15-inch-intel/21q6cto1wwkr3,lenovo,"씽크패드 X9-15 gen1, u5 228v",1,CTO,,0,195,185,-5.128205128,u5 228v,32,onboard,512,0,15.3,8,140,80,oled,7,7.5,레노버,,10.66666667,3.227546038,1.474683544,-9.046613611,1.075949367
62,www.lenovo.com/kr/ko/p/laptops/thinkpad/thinkpade/thinkpad-e14-gen-7-14-inch-intel-laptop/21u2cto1wwkr2,lenovo,"씽크패드 e14 gen7, u5 228v",1,CTO,,0,135,133,-1.481481481,u5 228v,32,onboard,512,0,14,7,140,64,ips,7,6.75,레노버,,9.481481481,2.042360853,0.474683544,6.463878327,1.075949367
